Calle San Borja
Paseo de Rio
Calle Tuera
Calle Secreto
Callejon de Cumana
Calle Cerro Xico
Calle Cerro Dos Conejos
Calle Cerro El Tigre
Calle Cerro De LaLuz
Avenida Cerro Del Hombre
Prolongacion Ignacio Zaragoza
Calle Epsilon 
Calle Eta
Calle Gama
Prolongacion Ayuntamiento 
Calle Alfa
Prolongacion moctezuma
Calle Omega
Calle Cerro Tesoro
Avenida Cerro del Agua
Avenida Copilco
Calle Aile
Calle Amati
Calle Tejamanil
Calle jicote
Calle Jumil
Calle Guamuchil
Calle Amesquite
Avenida Ahuanusco
Calle Ahuejote 
Calle aile
Calle Pascle
Avenida Copal
Calle Ignacio Allende
Calle Benito Juarez
Calle Carrasco 
Avenida de las Fuentes 
Calle La Fama
Cerrada Camiseta
Calzada Fuentes Brotantes
Calle Cuautla 
Calle Guadalajara
Avenida Revolucion
Calle Ayuntamiento
Calle Arteaga
Calle Altamirano
Avenida Rio De La Magdalena
Calle Alpina
Calle Yucatan
Calle Independencia
Calle Michoacan 
Calle Gerrero 
Calle Hidalgo
Calle Tlaxcala
Calle Ahguascalientes
Calle Puebla
Calle Morelos
Calle Chihuahua
Calle Tamaulipas
Calle Zamora
Avenida Toluca
Calle 10 De Mayo
Calle Salvatierra
Calle De La Loma
Calle Vergel
Calle Cabrio
Calle Guadalupe
Avenida Desierto de Los Leones
Calle de las Flores
Prolongacion Rio San Angel
Calle Lluvia
Calle Risco
Calle Rocio
Calle Agua
Calle Congreso 
Calzada De Tlalpan 
Calle Galeana
Calle San Pedro
Calle Pelegoneros
Calle Del Rosal
Calle Diligencias
Calle Cedral 
Avenida Mexico
Cerrada Ocote
Cerrada Primavera Altavista 
Calle De Cedral
Calle De La Cruz
Prolongacion Primavera
antiguo Camino A Diligencias
Camino Viejo A Topilejo
Cerrada Diligencias
Calle De Los Rosales
Camino Viejo Al Ajusco
Calle Oriente 1
Calle Oriente 2
Calle 1 N
Calle Poniente 1
